question,document
How can I tell if a homework is actually ready and not still being changed?,96286b4be4
Is it safe to start working on homework if it still looks unfinished?,96286b4be4
Can the homework details change even after it shows up on the course platform?,96286b4be4
When is llm-zoomcamp going to be offered again?,bd31146b0e
Do you know the next time this course will run?,bd31146b0e
Is there a planned date for the next llm-zoomcamp session?,bd31146b0e
When should I expect the next offering of this course?,bd31146b0e
Will this course come back in summer 2027?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
What’s the main place to start if I want to watch the lessons?,31456f4b5f
How do I locate the video links for each lesson in the repo?,31456f4b5f
"Is there a YouTube playlist, or should I use the GitHub repo instead?",31456f4b5f
What’s the easiest way to find the latest lesson videos?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and what’s the best place to follow the deadlines and homework updates?,20c5a1347e
Is there a course platform for LLM Zoomcamp where I can see the cohort structure and track my progress?,20c5a1347e
"What site should I use to keep up with LLM Zoomcamp homework, deadlines, and overall course progress?",20c5a1347e
How do I monitor the current LLM Zoomcamp schedule and assignments in one place?,20c5a1347e
"Where is the official LLM Zoomcamp management page for syllabus, homework, deadlines, and progress tracking?",20c5a1347e
"Do we get a live class or office hour for every module, or is everything just pre-recorded?",d65e05bd7a
Where should I ask if I’m stuck on a lesson or assignment?,d65e05bd7a
How do I know when a live session is happening for this course?,d65e05bd7a
Is there any paid option with regular Zoom office hours or extra support?,d65e05bd7a
"Are the course materials available somewhere in the repo, or do I need to wait for live sessions?",d65e05bd7a
Can I get learning in public credits if I post on Bluesky?,dbf5369006
Do Bluesky posts count toward the learning in public requirement?,dbf5369006
Is Bluesky accepted for learning in public credits in this course?,dbf5369006
Can I use a Bluesky post as proof for learning in public credits?,dbf5369006
Will posting on Bluesky earn me learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you send me the link to the LLM Zoomcamp Telegram group?,054f3fd58f
Where do I find the Telegram channel for course announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal if the FAQ count in my run doesn’t match the course recording?,e2d595f23c
Why do I get more or fewer FAQ entries than what appears in the lecture?,e2d595f23c
"Did the course data change after the videos were recorded, or am I doing something wrong?",e2d595f23c
Why is the FAQ dataset count different now compared with the May 2026 videos?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The due date is over, but the submission page hasn’t closed yet — am I still allowed to send it in?",a9353fadfe
"If the homework form is still open after the deadline, does that mean late submissions are okay?",a9353fadfe
When exactly do homework submissions stop being accepted — is it the deadline or when the form gets closed?,a9353fadfe
"I missed the deadline, but I can still access the form. Should I submit now?",a9353fadfe
"Can I still turn in homework if the deadline already passed, as long as the form is open?",cdc3b285e5
Do you ever give one-on-one deadline extensions for homework submissions?,cdc3b285e5
What happens if I miss a homework deadline — can I submit late later on?,cdc3b285e5
Will skipping a homework hurt my chances of getting the course certificate?,cdc3b285e5
"Are homework points required for the certificate, or do they only affect the leaderboard rank?",cdc3b285e5
Is the name I enter for the certificate visible on the public leaderboard or anywhere else online?,651ba06b34
"Do you share the certificate name with third parties, or is it only used on the certificate itself?",651ba06b34
What name shows up on the leaderboard if I set a different name for my certificate?,651ba06b34
Where do I change the public nickname and the certificate name in my course profile?,651ba06b34
Can I keep my real name private on the leaderboard but still have it printed on the certificate?,651ba06b34
Why doesn't this course use LangChain right away?,b7cdde6b25
What's the reason we build the RAG pieces ourselves instead of using a framework?,b7cdde6b25
"Is LangChain bad, or are we just avoiding it for learning purposes?",b7cdde6b25
"Why do we learn prompting, retrieval, indexing, and evaluation before using tools like LangChain?",b7cdde6b25
What’s the idea behind teaching the basics first and only then moving to frameworks like LangChain?,b7cdde6b25
Why do I get an OpenAI API error saying I have insufficient credits when I run responses.create?,f5df151c59
What does the OpenAI error about insufficient credits mean in responses.create?,f5df151c59
How can I fix the OpenAI API error if responses.create fails because of low credits?,f5df151c59
Is insufficient credit the reason my OpenAI responses.create command is failing?,f5df151c59
What should I check if OpenAI responses.create throws an insufficient credits error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when I try to run my code in the RAG module?,152af39a53
"Does this error mean the API is down, or is it something with my OpenAI account quota?",152af39a53
What do I need to do in my OpenAI account so the request stops failing with insufficient_quota?,152af39a53
"After I add money to the account, do I also need to change the model name in responses.create?",152af39a53
"If I top up my billing, do I have to make a new API key or can I keep using the old one?",152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
"Will I spend a lot on OpenAI API calls in the course, or is it pretty cheap?",554d0eb78b
What’s the minimum I need to top up my OpenAI account with?,554d0eb78b
Is it true that OpenAI API usage for the course only costs a few cents at most?,554d0eb78b
How much should I expect to pay if I use the OpenAI API for the assignments?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5
"Is an OpenAI subscription required for the llm-zoomcamp assignments, or can I use cheaper alternatives?",85384a18e5
"For Module 1 RAG, do I have to buy OpenAI API access, or does the course support free/low-cost replacements?",85384a18e5
"Can I complete the course tasks without paying for OpenAI, and where can I find the alternative models or APIs?",85384a18e5
"Do the homeworks depend on OpenAI API credits, or is there a list of no-cost options somewhere in the repo?",85384a18e5
Why does the course recommend uv over pip and virtualenv for setup?,f81dea8f7e
What makes uv a better choice than using several separate Python tools?,f81dea8f7e
"Do I have to use uv, or can I still use pip and virtualenv in this course?",f81dea8f7e
How does uv help with managing Python versions and dependencies?,f81dea8f7e
Is there a reason the lessons use uv instead of traditional tools like poetry or pyenv?,f81dea8f7e
Why does my Jupyter notebook keep saying the OPENAI_API_KEY is missing?,86d99bbf21
Do I need python-dotenv before loading my .env file in the notebook?,86d99bbf21
Where should I call load_dotenv() so the OpenAI client can see my API key?,86d99bbf21
What if my API key is in .env but the notebook still can't find it?,86d99bbf21
Is OPENAI_API_KEY the exact variable name I need to use in .env?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python?,233dabe430
What’s the easiest way to use python-dotenv for reading OPENAI_API_KEY and other keys?,233dabe430
Should I put .env in .gitignore before adding my secret keys?,233dabe430
How can I access keys like GROQ_API_KEY from environment variables in my script?,233dabe430
What’s the setup for storing API secrets locally without committing them to Git?,233dabe430
"Can I solve the homework with a different LLM provider than the one suggested, or does it have to be the recommended model?",ee43413718
"Is it okay to use something like Gemini, Groq, Azure OpenAI, OpenRouter, or even a local model for this assignment?",ee43413718
"Do I need a paid API account to finish the homework, or is there a free way to do it?",ee43413718
"If I switch to another provider, what parts of the code usually need to be changed to make it work?",ee43413718
Where can I find a list of alternative APIs or models that are good for this course?,ee43413718
"How can I use Gemini in the Module 1 notebook through the OpenAI-style endpoint, and what do I need to set up first?",0ae5c221b9
What should I put in my .env file and how do I create the client for Google Gemini with OpenAI-compatible code?,0ae5c221b9
Is there a simple helper function example for calling a Gemini model from the notebook?,0ae5c221b9
Why do the course notebook examples need changes when I switch from Responses to chat completions with Gemini?,0ae5c221b9
Which parts of the Module 1 code usually need edits when using Gemini instead of the default OpenAI setup?,0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the command to get Ollama running locally after installation?,1d0b969028
How can I check if the Ollama server is responding on my machine?,1d0b969028
How do I install the Python Ollama client for use in my code?,1d0b969028
Can you show a small Python example for chatting with the llama3 model through Ollama?,1d0b969028
How do I fix a connection refused error when my Ollama RAG prompt fails in the homework?,c6fc2d4d11
What should I do if Ollama stops responding and I get a refused connection during the notebook run?,c6fc2d4d11
Is there a way to restart the Ollama server after a connection refused error in Module 1 RAG?,c6fc2d4d11
"Why do I keep seeing connection refused when prompting Ollama, and how can I get it working again?",c6fc2d4d11
Do I need to rerun the Ollama server cell after restarting the notebook if I get this error?,c6fc2d4d11
Why does tiktoken give me a smaller token count than the OpenAI API for the same chat prompt?,bf0403d21b
What extra tokens are added by chat.completions.create that make OpenAI’s count higher?,bf0403d21b
"If my prompt text is 320 tokens in tiktoken, why can the API report something like 327?",bf0403d21b
"Can newlines, spaces, or odd Unicode characters change the token count from what I expect?",bf0403d21b
Is the difference between local token counting and OpenAI’s reported tokens caused by chat formatting overhead?,bf0403d21b
"How can I make my API key load automatically whenever I open the project, without exporting it again in every new terminal?",8b2f5e9d04
Is there a tool like direnv that can read both .env and .envrc and work across different shells and operating systems?,8b2f5e9d04
What’s the easiest setup to keep my OpenAI key in a project file and have it picked up just by cd-ing into the folder?,8b2f5e9d04
"If I’m already using direnv, what do I need to put in the repo and what command should I run so the env vars start working?",8b2f5e9d04
"For a Python script, how do I load the variables from a .env file instead of setting them manually in the shell?",8b2f5e9d04
"How do I decide on field weights in minsearch without just guessing, and what’s the best way to check if one setting is actually better?",87d4ea4e08
"If I want to tune search field weights for a small RAG project, should I just do trial and error or build some kind of test set first?",87d4ea4e08
"What’s a practical way to compare different weight combinations in a search engine, and which retrieval metrics should I look at?",87d4ea4e08
"Before changing field weights, do I need a labeled dataset, and what should I mark for each example query?",87d4ea4e08
Where in the course do we learn how to evaluate different search weight settings instead of tuning them by feel?,87d4ea4e08
What’s the best way to clean docs before using them in RAG?,649c280e6d
"Should I remove things like HTML junk, duplicates, and OCR mistakes when preparing data for retrieval?",649c280e6d
"Do I need to keep titles, dates, page numbers, and section info when chunking documents for RAG?",649c280e6d
"Is JSON the recommended format for storing documents before indexing them, or can I use something else?",649c280e6d
How do I chunk source files so the context stays together and retrieval works better?,649c280e6d
"Why does uv warn that it failed to hardlink files in GitHub Codespaces, and is that something I need to fix?",acf8fa5356
Can I ignore the hardlink warning from uv in Codespaces if the install still finishes?,acf8fa5356
How do I stop uv from showing the hardlink/copy warning just for my current terminal session?,acf8fa5356
What should I add to my shell config if I want uv to always use copy mode in Codespaces?,acf8fa5356
Does uv actually install the package when it says it couldn't hardlink from cache to the environment?,acf8fa5356
My `.env` file isn’t loading and it says dotenv isn’t recognized — what package do I need to install?,0bed1f48da
What do I install to use `load_dotenv()` in Python?,0bed1f48da
"I’m getting a dotenv error in Module 1 RAG, how do I fix it?",0bed1f48da
Which library should I add if `dotenv` can’t be found?,0bed1f48da
"After installing the dotenv package, how do I load the environment variables in code?",0bed1f48da
Is it okay if I skip Codespaces and do the course on my own machine?,aa310de435
What do I need installed if I want to run the module locally?,aa310de435
Why do you recommend Codespaces if local setup is allowed too?,aa310de435
"If I use my laptop instead of Codespaces, do I need to keep track of my setup somehow?",aa310de435
"Can I follow the RAG module from home, or do I have to use the provided cloud environment?",aa310de435
"If I keep coding in Codespaces but never commit, does my work stay anywhere?",610ccb23c0
Where is the code actually stored when I save files in GitHub Codespaces?,610ccb23c0
"Do I really need to commit often in Codespaces, or is the VM enough?",610ccb23c0
What happens to my uncommitted changes if the Codespace stops or gets deleted?,610ccb23c0
Is my work safe in Codespaces even if I don't push it to GitHub?,610ccb23c0
Why does WSL2 say the model needs more memory than available when my laptop clearly has enough RAM?,f3dd94f323
How do I increase the RAM that WSL2 can use for running the model?,f3dd94f323
"Where should I put the .wslconfig file, and what should it contain for memory settings?",f3dd94f323
"Do I need to restart WSL after changing the RAM limit, and what command should I use?",f3dd94f323
How can I check inside WSL that the new memory limit actually took effect?,f3dd94f323
"My Codespace is stuck on ""Finishing up"" and never connects — what's the quickest thing I should try first?",830f3d2018
"If GitHub Codespaces won't open in VS Code desktop, is there another way to get into it without deleting everything?",830f3d2018
"I restarted my codespace and now some of my setup seems gone — did I lose my project, or is this normal?",830f3d2018
"What happens to files and changes if I stop a codespace, rebuild it, or create a new one?",830f3d2018
Codespaces keeps acting flaky for me — should I just switch to running the course on my local machine?,830f3d2018
"Is OpenAI required for the RAG module, or can I plug in another LLM provider and keep the same course code?",c6ff9083c0
"If I want to use Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral instead, what exactly do I need to change in the setup?",c6ff9083c0
"Can I run a model locally with Ollama, vLLM, or LM Studio and still follow the course without using any external API?",c6ff9083c0
"What if the provider from the course is blocked in my region — is a VPN the only fix, or are there other options?",c6ff9083c0
Where can I find a list of OpenAI API alternatives and local model tools recommended for the course?,c6ff9083c0
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
"Are tools and functions actually different, or can I treat them as the same thing?",c296ea5a21
When would the model decide to call a tool instead of answering directly?,c296ea5a21
Can a tool/function be used for things like database lookups or API calls in this setup?,c296ea5a21
How is tool use in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
Which free models can I use if I need tool calling support?,0d74a3616f
Does Groq have any no-cost models that work with tools for development?,0d74a3616f
"Besides OpenAI, what other providers let me use function calling or tool use?",0d74a3616f
Can I use Deepseek R1 or Llama 4 with tools without paying?,0d74a3616f
"If I switch away from OpenAI, will my tool-use code need changes because of different schemas or outputs?",0d74a3616f
Why do I get AttributeError: 'str' object has no attribute 'output' when I try OpenAI Responses API with Mistral or Groq?,9e7b3f0c25
"Can I use response.output with Gemini or other non-OpenAI models, or is that only for OpenAI?",9e7b3f0c25
What should I use instead of client.responses.create(...) if my model provider doesn’t support the Responses API?,9e7b3f0c25
How do I read the model reply when I’m using chat.completions instead of the newer API?,9e7b3f0c25
Is it fine to stick with the old chat.completions interface for the homework if my provider works better with it?,9e7b3f0c25
"Why am I getting the Azure OpenAI 400 error about missing `tools[0].function`, and what should I change in my weather tool JSON?",b9c7c6bb34
What is the correct structure for `get_weather_tool` when using Azure OpenAI function calling?,b9c7c6bb34
I keep seeing `Missing required parameter: 'tools[0].function'` — is my tool definition formatted wrong?,b9c7c6bb34
How should I define the weather tool so Azure OpenAI accepts it without the invalid request error?,b9c7c6bb34
Can you show the right JSON for a `get_weather` function tool in Azure OpenAI?,b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI model, and what should I switch to instead?",0224d980b3
How can I make toyaikit work with Groq using the OpenAI-compatible API base URL?,0224d980b3
"What’s the difference between the Responses runner and the chat completions runner in toyaikit, and why does one fail with Groq?",0224d980b3
How do I use toyaikit with Anthropic models like Claude instead of OpenAI?,0224d980b3
"When should I use runner.loop() versus runner.run() in toyaikit, and what do I get back from loop()?",0224d980b3
Where do I actually find the Module 1 homework questions and instructions?,53f15299b6
"Is the homework only on the course platform, or should I also check GitHub?",53f15299b6
Can you point me to the 2026 Module 1 homework page and materials?,53f15299b6
Where are the homework links for this module?,53f15299b6
"Do I need to use the GitHub repo for the homework, or is the platform enough?",53f15299b6
Why do I keep getting an empty list when I filter my query in HW Q3?,83da208a64
Could the reason my homework query returns nothing be that I indexed the data wrong?,83da208a64
Do I need to set up the index settings before loading data for this homework question?,83da208a64
What should I check first if my filtered search is returning an empty result?,83da208a64
How do I fix the empty-list issue in Q3 when my filters and query aren’t matching anything?,83da208a64
"Why do I get a 402 from OpenRouter when I call responses.create(), even though the same code works with OpenAI directly?",cfb07a27d5
How can I stop APIStatusError 402 in responses.create() for the Module 1 homework?,cfb07a27d5
Where should I add max_output_tokens in rag_helper.py so my LLM call doesn’t get rejected?,cfb07a27d5
"For ToyAIKit Q6, what extra setting do I need to pass to OpenAIClient to avoid this OpenRouter error?",cfb07a27d5
"If I’m still getting 402, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when they say RAG should point to the chunk index, does that mean I should search over the split text instead of the full docs?",b4300adeb1
"If I already have `documents` and `chunks`, which one should I pass to `index.fit()` for the homework RAG setup?",b4300adeb1
Why does the homework want the retriever to use chunks rather than the original documents?,b4300adeb1
"After chunking the data, does RAG only put the matching chunks into the prompt, or the whole source document too?",b4300adeb1
What’s the difference between fitting the index on `documents` versus `chunks` in the Module 1 RAG pipeline?,b4300adeb1
"For the homework, do I need to get the exact same number as the multiple-choice option, or is the nearest one okay?",5e4ca64cb5
"If my computed answer is a little off from all the choices, should I still pick the closest option or double-check my work first?",5e4ca64cb5
What usually causes small mismatches between my homework result and the listed options?,5e4ca64cb5
When should I worry that my answer is actually wrong instead of just being slightly different because of rounding or dataset differences?,5e4ca64cb5
Is there any official homework guidance for what to do if my result doesn't match the options exactly?,5e4ca64cb5
Where do I actually find the Module 1 homework details for the 2026 cohort?,7d3a2e3505
"If the homework prompt on the course page is confusing, what should I check first?",7d3a2e3505
"Are the homework tasks in Module 1 supposed to match the lesson exactly, or can they change a bit?",7d3a2e3505
What’s the best way to ask for help in Slack when I’m stuck on this homework?,7d3a2e3505
"Should I send screenshots when I ask about homework errors, or do you want the command output as text?",7d3a2e3505
How can I find the token count for Module 1 homework if I'm not using OpenAI?,fe8fed31e6
What should I read from the model response to get token usage for the homework?,fe8fed31e6
"Can I use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
"If my API doesn’t return token usage, what’s the best fallback for the homework?",fe8fed31e6
"For the multiple-choice questions, what do I do if the token count isn’t exact?",fe8fed31e6
"Why does the grader say my repo link is not 200, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the homework checker to open it?,bcdb8740ce
Should I submit the URL with .git at the end or just the normal repo link?,bcdb8740ce
How can I quickly test whether the homework URL is reachable from the checker?,bcdb8740ce
My submission gets a 404 or 500 on the repo URL — what are the common reasons for that?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people use them?",69430a79a8
How do embeddings turn text or other non-numerical data into numbers without losing the meaning?,69430a79a8
Why do similar inputs usually end up with similar vectors in an embedding model?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the `model was made on sentence transformers v3.0.0 bet` message when I run vector search?,aa3f597424
What should I upgrade to stop the warning from `multi-qa-mpnet-base-dot-v1`?,aa3f597424
Do I need a newer `sentence-transformers` version to avoid that beta warning?,aa3f597424
What command should I use to silence the `multi-qa-mpnet-base-dot-v1` warning?,aa3f597424
Why did the lesson just use dot product for similarity without normalizing first?,92cd22cada
"Are OpenAI embeddings already unit-length, so dot product equals cosine similarity?",92cd22cada
"In the homework, why do we need to normalize TF-IDF + SVD vectors before comparing them?",92cd22cada
Does dot product only match cosine similarity when embeddings are normalized?,92cd22cada
What’s the difference between the lesson setup and the homework setup for vector similarity?,92cd22cada
"For vector search in this module, do I need to embed the question, the answer, or both?",5c4a8d2e60
"Is there a best choice between indexing only the answer, only the question, or combining them?",5c4a8d2e60
Why would embedding just the answer still work for matching user queries?,5c4a8d2e60
What are the pros and cons of using question + text together as the embedding input?,5c4a8d2e60
How should I decide which embedding setup is better for my dataset?,5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why do people use cosine similarity for comparing documents instead of just raw word counts?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
Can cosine similarity be used with vectors built from TF-IDF or word counts?,db78580409
"In vector search, why is the angle between two vectors more useful than their length?",db78580409
Why does cosine similarity turn into a dot product once the embeddings are normalized?,95feb4e75b
"If all vectors have unit length, why can we compute cosine similarity with matrix multiplication?",95feb4e75b
What’s the reason cosine similarity ignores vector magnitude after normalization?,95feb4e75b
How does normalizing the query and document embeddings make similarity search faster?,95feb4e75b
"In vector search, why is cosine similarity just the dot product between embeddings and the query?",95feb4e75b
"For Module 2, do I have to make a whole new GitHub repo, or can I just open a fresh codespace from the same repo?",1e829a8c6f
Why does the course recommend a separate codespace for vector search stuff instead of reusing the one from Module 1?,1e829a8c6f
"If I’m doing Module 2 in Codespaces, should I keep my changes there or commit them somewhere first?",1e829a8c6f
"Is a codespace basically just the environment for the module, or is it the same thing as creating a new repository?",1e829a8c6f
What’s the easiest setup for Module 2 if I already have my course repo on GitHub?,1e829a8c6f
Why does download.py stay stuck at 0% when it tries to fetch model.onnx from HuggingFace?,29b69fbe0b
Is there a workaround if the model download from HuggingFace never starts or keeps hanging?,29b69fbe0b
Can I manually get model.onnx from the browser and place it somewhere so the script won’t try to download it again?,29b69fbe0b
What’s the exact file location I should use if I download model.onnx by hand?,29b69fbe0b
Will download.py skip the HuggingFace download once the model file is already saved locally?,29b69fbe0b
Why do the loop and matrix dot-product versions of vector search not match exactly?,e889793af9
"Is it normal that `np.allclose(scores, scores_loop)` returns false even when both methods should do the same thing?",e889793af9
Why does `X.dot(v_query)` give slightly different numbers than a plain Python loop for the same vector search?,e889793af9
"Is this a bug in vector search, or just floating-point precision acting up?",e889793af9
What’s the right way to compare the two score arrays if exact equality fails?,e889793af9
"For the Module 2 homework cosine similarity question, why do I get a value that doesn't match any of the multiple-choice answers?",eaa17a9dc6
"Am I supposed to use the `Embedder` from `embedder.py` in Homework 2, or can I use `sentence-transformers` instead?",eaa17a9dc6
"Could the wrong embedding model be the reason my Q2 cosine similarity is off, like if I used one of the lesson models by mistake?",eaa17a9dc6
"What exactly should I embed for the homework similarity check — the page content, the filename, or the whole record?",eaa17a9dc6
"If my cosine score is still a little different after using the right model and vectors, should I just choose the nearest answer?",eaa17a9dc6
How do I set up Gemini so Kestra can use it in the flows and in the AI Copilot?,3860e5fe8b
Do I need to export both a normal Gemini key and a SECRET_ version before starting Kestra?,3860e5fe8b
What’s the right way to add OpenAI and Tavily keys for the orchestration module?,3860e5fe8b
Why is Kestra not seeing my API keys unless I base64-encode them and restart Docker Compose?,3860e5fe8b
"In a Kestra flow, should I use the SECRET_ variable name or the plain secret name when calling secret()?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with making Kestra flows, and what usually causes that message?",04440cab11
Do I need to set a different environment variable for the Copilot than the one used by the flows?,04440cab11
What exact command should I run to give Kestra the Gemini API key before starting it with Docker Compose?,04440cab11
"If I already exported the API key but Copilot still refuses to answer, what should I check next?",04440cab11
"Could this problem be from a bad key, a missing export in my shell, or hitting Gemini quota, and how do I tell?",04440cab11
Why does Kestra say my Gemini key is missing or invalid even though I already set `SECRET_GEMINI_API_KEY`?,c8ca21af33
Could a bad base64 encode be the reason my secret is failing in the flow?,c8ca21af33
"Do I need to restart Kestra after exporting the API key, or does it pick it up automatically?",c8ca21af33
"When I use the secret inside a flow, should I write `SECRET_GEMINI_API_KEY` or just `GEMINI_API_KEY`?",c8ca21af33
"Is there a better way to load the keys for Kestra, like using a `.env` file instead of exporting them by hand?",c8ca21af33
Why do we need an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What problems does Kestra solve that a one-off script or notebook doesn't handle well?,193612db63
"Is Kestra only for scheduling jobs, or does it help with retries, monitoring, and secrets too?",193612db63
"How is Kestra used in this module to show AI Copilot, RAG, and agents in a real workflow?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, or other providers in a Kestra flow without rewriting the whole thing?",193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON in the evaluation notebook?,a3c7e1b4f9
How do I make the model return only valid JSON instead of code fences or extra text when generating ground-truth questions?,a3c7e1b4f9
What should I change in the OpenAI API call so `json.loads(...)` works reliably on the response content?,a3c7e1b4f9
What exact instruction should I put in the prompt to force the LLM to return a JSON object with 5 questions?,a3c7e1b4f9
"Is there a provider-specific way to require JSON output, like with Gemini or Groq, so the parser doesn’t break?",a3c7e1b4f9
Why does my Jupyter notebook kernel die when I try to embed the ground-truth data?,b8f2d6a30c
What can I do on a low-RAM laptop or Codespaces when embeddings are causing memory errors?,b8f2d6a30c
Is there a smaller embedding model I can use instead of the default one in the eval notebook?,b8f2d6a30c
Can I run the embedding part outside the notebook and then bring the vectors back in later?,b8f2d6a30c
How do I avoid memory spikes when embedding the ground-truth set in batches?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop me from getting rate-limited when I generate the ground-truth dataset with Gemini?,c1e9f4b820
What can I do if I keep hitting Gemini free-tier limits while building the eval dataset?,c1e9f4b820
Is there a cheaper API model I can switch to for generating the ground-truth data without running into these quota issues?,c1e9f4b820
How should I change my thread pool setup if the API gets rate-limited too quickly?,c1e9f4b820
What’s the best way to avoid losing progress if the run stops because of quota limits?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing Visual C++ Redistributable enough for the fbgemm.dll / PyTorch module not found issue?,15e931476c
Do I need Visual Studio or Visual Studio Code to solve the torch\lib\fbgemm.dll dependency error on Windows?,15e931476c
Why does PyTorch on Windows complain that fbgemm.dll or one of its dependencies could not be found?,15e931476c
What are the recommended steps for the OSError: [WinError 126] error with fbgemm.dll in Python on Windows?,15e931476c
"Why do I get `could not translate host name ""postgres""` when I run `python prep.py` in Module 5, and what should I change in `.env`?",4b65d5542d
My `psycopg2.OperationalError` says the host `postgres` can’t be found. What’s the fix for the database host setting?,4b65d5542d
"When I execute `prep.py`, it crashes with a PostgreSQL host resolution error. Which `.env` variable should I edit?",4b65d5542d
How can I solve the `No such host is known` error for `postgres` while preparing the data in the monitoring module?,4b65d5542d
`python prep.py` fails with an OperationalError about `postgres` not being translated to an address. What host value should I use instead?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
Why is my explanation column in the offline RAG eval notebook getting truncated in Pandas?,641aedbbf5
What Pandas setting should I change to see the whole LLM judge explanation?,641aedbbf5
How can I stop Pandas from showing only part of a long text field in a dataframe?,641aedbbf5
