question,answer_llm,answer_orig,document
"Where do I find the docs, repo, and deadlines for LLM Zoomcamp?","You can find them here:

- Docs: https://datatalks.club/docs/courses/llm-zoomcamp/
- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp
- Deadlines: https://courses.datatalks.club/llm-zoomcamp-2026/

The course management platform also has the syllabus, homework, and progress tracking.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How are we supposed to study each week in this course?,"We’re supposed to study from the **pre-recorded module materials in the course repo**, since there are **no separate live sessions for every module by default**.

If you get stuck, you should:
- ask in **Slack**
- follow the **asking questions guidelines**

There are also **optional AI Shipping Labs** for extra structure and Zoom office hours, but they’re not required.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to start on a fixed date, or can I just jump in anytime?",You can just jump in anytime — you don’t need to start on a fixed date.,"Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson work, or is it different?","The homework is **similar to the lesson work, but not exactly the same**.

It usually follows the same workflow or idea, but often:
- uses a **different dataset**, or
- asks you to **apply the same concept in a slightly different way**.

So you should expect it to be related, but not identical.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,"Click the **“Jump to your record on the leaderboard”** link — that takes you directly to your entry, even if you can’t spot your name right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why do I show up with a random name on the leaderboard instead of my real one?,"You show up with a random name because the course automatically assigns you an anonymous display name when your account is created.

That random name is what appears on the public leaderboard by default. If you want to change it, go to **Edit Course Profile** and update the **first field** — that is your public nickname/display name.

Your **real name** goes in the **second field**, which is used for your certificate and not shown publicly.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name the course is using for me?,Click **“Edit Course Profile”** — your **first field** is the display name/nickname the course uses for you.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears publicly on the leaderboard?,Yes. You can change the public nickname by opening **“Edit Course Profile”** and editing the **first field**. That field controls the name shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields if I want the correct name on my certificate?,"Put your official name in the **second profile field** in **Edit Course Profile**.  
The **first field** is for your public nickname/display name on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course on my own pace and still get a certificate at the end?,"No. You can follow the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish the course with a live cohort, because you need to peer-review 3 capstone projects during the course.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do you give certificates for the self-paced version, or only for the live cohort?",Only for the live cohort. We don’t award certificates for the self-paced version.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish all the lessons later by myself, will I still be eligible for the certificate?",No. You can only get a certificate if you finish the course with a live cohort while submissions and peer reviews are still open. Certificates are not awarded for self-paced completion afterward.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn't there a certificate option for self-paced students?,"There isn’t a certificate option for self-paced students because certificates are only awarded to students who finish the course with a live cohort.

The reason is that the certificate process requires you to peer-review 3 capstone projects after submitting your own, and that can only happen while the course is actively running. Once the course ends, the peer-review form is closed and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to be in the running cohort to do the peer reviews needed for the certificate?,"Yes — to get the certificate, you need to participate in the live/running cohort, because the required peer reviews can only be done while the course is running.

If you follow the course in self-paced mode, you won’t be able to complete the peer-review requirement, so you won’t be eligible for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone project enough?",Yes — you still qualify for the certificate. Homework is not mandatory. You only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required to get the certificate in this course, or can I just complete the Capstone?","You do **not** need to do the homework to get the certificate. You can get the certificate by **passing the Capstone project**.

Homework is **not mandatory**; it’s mainly recommended for practice and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I missed an early homework assignment, does that affect my chance to receive the certificate?",No. Missing an early homework assignment does **not** affect your chance to receive the certificate. You only need to **pass the Capstone project** to get the certificate; homework is recommended but **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What actually counts for the certificate here — homework or the Capstone project?,"For the certificate, the **Capstone project** is what counts.

Homework is **not mandatory** for the certificate, though it is recommended and its points count toward your leaderboard rank. You need to **pass the Capstone project** to get the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework points mandatory for certification, or are they only for the leaderboard?",Homework is not mandatory for certification. You only need to pass the Capstone project to get the certificate. Homework points are only for the leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before I can submit it?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:
- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on it before that is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready and not still being changed?,"A homework is ready only when **both** of these are true:

- The **homework form is open** on the course management platform.
- The **homework title does not contain `[DRAFT]`**.

If the title still has `[DRAFT]`, it means it’s **not ready yet** and may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework if it still looks unfinished?,"Yes, but only at your own risk. If the homework still looks unfinished, it may still change. The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

If either of those is not true, it’s better to wait.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework details change even after it shows up on the course platform?,"Yes. Until the homework is officially ready, the details can still change. In this course, homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

If it still says `[DRAFT]`, the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is llm-zoomcamp going to be offered again?,I don't know.,Summer 2027.,bd31146b0e
Do you know the next time this course will run?,The course will next be offered in **Summer 2027**.,Summer 2027.,bd31146b0e
Is there a planned date for the next llm-zoomcamp session?,I don't know.,Summer 2027.,bd31146b0e
When should I expect the next offering of this course?,Summer 2027.,Summer 2027.,bd31146b0e
Will this course come back in summer 2027?,Yes — the course is scheduled to be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,"You can find the LLM Zoomcamp lectures/videos in the **LLM Zoomcamp GitHub repository**:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant videos linked at the top. If you’re unsure, use the GitHub repo first, since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the main place to start if I want to watch the lessons?,"Start with the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

If you want to watch the lessons, the **videos are available**, and you can begin anytime.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I locate the video links for each lesson in the repo?,"Open the **LLM Zoomcamp GitHub repo** and go into the **lesson folders**. Each lesson page has the relevant **video links at the top**. If you’re unsure, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Is there a YouTube playlist, or should I use the GitHub repo instead?","Use the **GitHub repo as the main entry point**. Each lesson folder has the relevant videos linked at the top.

If in doubt, follow the **GitHub repo first**, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the easiest way to find the latest lesson videos?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point, then open the **lesson folders**—each lesson page has the relevant videos linked at the top.

When in doubt, follow the GitHub repo first, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and what’s the best place to follow the deadlines and homework updates?,"Check the **LLM Zoomcamp course management platform** here:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s the best place to follow the **deadlines, homework, and progress updates**.  
For the syllabus and weekly materials, also use:

- LLM Zoomcamp docs: https://datatalks.club/docs/courses/llm-zoomcamp/
- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for LLM Zoomcamp where I can see the cohort structure and track my progress?,"Yes — use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It shows the **current cohort structure**, **homework**, **deadlines**, and **progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What site should I use to keep up with LLM Zoomcamp homework, deadlines, and overall course progress?","Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I monitor the current LLM Zoomcamp schedule and assignments in one place?,"Use the **LLM Zoomcamp course management platform** to track the current schedule, homework, deadlines, and progress in one place:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, assignments, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Where is the official LLM Zoomcamp management page for syllabus, homework, deadlines, and progress tracking?","The official LLM Zoomcamp management page is:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get a live class or office hour for every module, or is everything just pre-recorded?","There are no separate live sessions or office hours for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Where should I ask if I’m stuck on a lesson or assignment?,I don't know.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session is happening for this course?,"Live sessions are announced separately when they happen. You can check the announcements channel on Telegram and Slack, and the video URL is posted there before the session starts. You can also watch live on the DataTalksClub YouTube channel.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
