question,document,score,reasoning
Do I have to be in the running cohort to do the peer reviews needed for the certificate?,69d122f12e,good,"The AI answer matches the ground truth. It correctly says the certificate requires being in the live/running cohort, that self-paced mode does not qualify, and that peer reviews can only be completed while the course is running. It preserves the key reason given in the original answer."
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone project enough?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not mandatory and that passing the Capstone project is sufficient for the certificate. It omits the leaderboard point detail, but that is extra information and not necessary for equivalence."
"Is homework required to get the certificate in this course, or can I just complete the Capstone?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not required, passing the Capstone project is sufficient for the certificate, and homework is recommended and counts toward leaderboard rank."
"If I missed an early homework assignment, does that affect my chance to receive the certificate?",9f689c185f,good,"The AI answer preserves the key point of the ground truth: homework is not required for the certificate, and passing the Capstone project is what matters. It also correctly notes that homework is recommended but not mandatory. This is semantically equivalent to the original answer."
What actually counts for the certificate here — homework or the Capstone project?,9f689c185f,good,"The AI answer matches the ground truth: it states that the Capstone project is required for the certificate, homework is not mandatory, and homework points only affect leaderboard rank. This preserves the key meaning accurately."
"Are homework points mandatory for certification, or are they only for the leaderboard?",9f689c185f,good,"The AI answer matches the ground truth: it says homework is not mandatory for certification, that passing the Capstone project is required for the certificate, and that homework points count only toward leaderboard rank. This is semantically equivalent to the original answer."
Why does the homework content keep changing before I can submit it?,96286b4be4,good,"The AI answer matches the ground truth. It correctly explains that '[DRAFT]' indicates the homework is not ready, that readiness requires both the form being open and the title not containing '[DRAFT]', and that content may change until then at the student's risk."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer captures the core meaning of [DRAFT]: the homework is not ready yet. It omits the additional details about the homework being ready only when the form is open and the title no longer contains [DRAFT], but those are explanatory rather than essential to the direct question."
How can I tell if a homework is actually ready and not still being changed?,96286b4be4,good,The AI answer matches the ground truth: it states the two conditions for readiness (form open and title not containing [DRAFT]) and explains that [DRAFT] means not ready and still subject to change. This conveys the key information accurately.
Is it safe to start working on homework if it still looks unfinished?,96286b4be4,good,"The AI answer conveys the same core information: unfinished/[DRAFT] homework is not ready, readiness requires both the form being open and the title lacking [DRAFT], and working early is at the student's own risk because it may change. This matches the ground truth semantically."
Can the homework details change even after it shows up on the course platform?,96286b4be4,good,The AI answer preserves the key conditions for homework readiness and correctly states that details can still change until it is officially ready. It also mentions the [DRAFT] indicator and the risk of using early material. This is semantically equivalent to the ground truth.
When is llm-zoomcamp going to be offered again?,bd31146b0e,bad,"The ground truth gives a specific future offering time: Summer 2027. The AI answer says it does not know, which directly fails to provide the correct information and is not semantically equivalent."
Do you know the next time this course will run?,bd31146b0e,good,"The AI answer matches the ground truth exactly in meaning, stating the next offering is Summer 2027."
Is there a planned date for the next llm-zoomcamp session?,bd31146b0e,bad,"The ground truth gives a specific planned date/timeframe: Summer 2027. The AI answer says 'I don't know,' which does not convey the planned date and is therefore incorrect."
When should I expect the next offering of this course?,bd31146b0e,good,The AI answer exactly matches the ground truth: it states the next offering is in Summer 2027.
Will this course come back in summer 2027?,bd31146b0e,good,The AI answer matches the ground truth by stating the course will be offered in Summer 2027. This is semantically equivalent and includes the same key information.
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders where videos are linked at the top, and notes the repo is more up to date than the YouTube playlist. This preserves the key information and guidance."
What’s the main place to start if I want to watch the lessons?,31456f4b5f,bad,"The ground truth says the main entry point is the LLM Zoomcamp GitHub repository, where lesson folders contain links to relevant videos at the top, and that the repo is preferable to the YouTube playlist because it stays updated. The AI answer adds docs and logistics docs and says videos are available, but it does not identify the GitHub repository as the main place to start for watching lessons, nor does it mention lesson folders or the video links at the top. It misses the key point and is too vague."
How do I locate the video links for each lesson in the repo?,31456f4b5f,good,"The AI answer conveys the same instructions as the ground truth: use the LLM Zoomcamp GitHub repository, open lesson folders, find video links at the top of each lesson page, and prefer the repo over the YouTube playlist because it is more up to date. This is semantically equivalent."
"Is there a YouTube playlist, or should I use the GitHub repo instead?",31456f4b5f,good,"The AI answer conveys the same main guidance: use the GitHub repo as the primary entry point, lesson folders contain the relevant video links, and the repo is preferred over the YouTube playlist because it is easier to keep updated. This matches the ground truth."
What’s the easiest way to find the latest lesson videos?,31456f4b5f,good,"The AI answer conveys the same guidance as the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, open lesson folders, and rely on the repo over the YouTube playlist because it is easier to keep updated. No key information is missing or contradicted."
Where do I check the LLM Zoomcamp syllabus and what’s the best place to follow the deadlines and homework updates?,20c5a1347e,good,"The AI answer identifies the course management platform URL as the place to check, and correctly says it is the best place for deadlines, homework, and progress updates. It adds extra resources for syllabus and weekly materials, which does not conflict with the ground truth. This is semantically equivalent to the original answer."
Is there a course platform for LLM Zoomcamp where I can see the cohort structure and track my progress?,20c5a1347e,good,"The AI answer matches the ground truth: it provides the same course management platform link and states that it includes cohort structure, homework, deadlines, and progress tracking. This conveys the key information correctly."
"What site should I use to keep up with LLM Zoomcamp homework, deadlines, and overall course progress?",20c5a1347e,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp course management platform and includes the correct URL, along with the same information about cohort structure, homework, deadlines, and progress tracking. Minor omission of the note about the process being the same as other DataTalks.Club Zoomcamps does not affect correctness."
How do I monitor the current LLM Zoomcamp schedule and assignments in one place?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform and states that it contains the cohort structure, assignments/homework, deadlines, and progress tracking. This is semantically equivalent, with only minor wording differences."
"Where is the official LLM Zoomcamp management page for syllabus, homework, deadlines, and progress tracking?",20c5a1347e,good,"The AI answer gives the same official management page URL and correctly states that it includes syllabus/homework/deadlines/progress tracking. This is semantically equivalent to the ground truth, with no missing key point."
"Do we get a live class or office hour for every module, or is everything just pre-recorded?",d65e05bd7a,good,"The AI answer matches the ground truth on the main points: no default live sessions/office hours for every module, materials are pre-recorded in the repo, live sessions are announced separately, and questions should be asked in Slack following the guidelines. It omits the optional paid AI Shipping Labs support, but that is extra detail rather than a core requirement for the question asked."
Where should I ask if I’m stuck on a lesson or assignment?,d65e05bd7a,bad,The AI answer does not answer the question and omits the key guidance to ask in Slack and follow the asking questions guidelines. It is not semantically equivalent to the ground truth.
How do I know when a live session is happening for this course?,d65e05bd7a,bad,"The AI answer captures the key point that live sessions are announced separately and provides plausible places to check. However, it adds specific channels (Telegram, Slack announcements, YouTube) that are not in the ground truth and omits important context: there are no separate live sessions for every module by default, materials are pre-recorded, and if stuck the user should ask in Slack following the questions guidelines. It also omits the optional AI Shipping Labs support. Since the core answer about announcements is present but several key details are missing, this is only partially aligned."
Is there any paid option with regular Zoom office hours or extra support?,d65e05bd7a,good,"The AI answer captures the key point from the ground truth: there is an optional paid support/community called AI Shipping Labs that provides regular Zoom office hours and extra structure, while the course content remains free. It omits the clarification that live sessions are not provided for every module by default and that questions should be asked in Slack, but that does not change the core answer to the user’s question about paid extra support."
"Are the course materials available somewhere in the repo, or do I need to wait for live sessions?",d65e05bd7a,good,"The AI answer matches the core ground truth: materials are available in the repo, pre-recorded, and live sessions are separate/announced later. It omits the Slack guidance and optional AI Shipping Labs detail, but those are extra support details, not essential to the question asked."
Can I get learning in public credits if I post on Bluesky?,dbf5369006,good,The AI answer exactly matches the ground truth and preserves the full meaning: Bluesky posts qualify for learning in public credits.
Do Bluesky posts count toward the learning in public requirement?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it says Bluesky posts count and can be used for learning in public credits.
Is Bluesky accepted for learning in public credits in this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning and content: it confirms that Bluesky posts can be used for learning in public credits.
Can I use a Bluesky post as proof for learning in public credits?,dbf5369006,good,The AI answer exactly matches the ground truth and preserves the key information that Bluesky posts are acceptable as proof for learning in public credits.
Will posting on Bluesky earn me learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning and wording. It correctly states that Bluesky posts can be used for learning in public credits.
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly provides the Telegram channel URL for LLM Zoomcamp, matching the ground truth. It omits the extra note about using Slack for technical discussion, but that was not the core question."
Can you send me the link to the LLM Zoomcamp Telegram group?,054f3fd58f,good,"The AI answer provides the correct Telegram link and matches the core information in the ground truth. It omits the note that it is for announcements and that technical discussion should go to Slack, but the question only asks for the link, so this is semantically equivalent."
Where do I find the Telegram channel for course announcements?,054f3fd58f,good,"The AI answer provides the correct Telegram channel URL for course announcements and matches the ground truth. It includes the key information, and although it omits the Slack note, that extra detail is not required for equivalence."
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f,good,"The AI answer matches the ground truth exactly in meaning: it provides the Telegram channel link and correctly states that it is for announcements, while technical discussion should go to Slack."
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and technical discussion/questions should go to the course Slack channel. It preserves the key distinction correctly."
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c,good,"The AI answer preserves the key point that the FAQ dataset is live and changes over time, and that the videos were recorded in May 2026 so the record count may differ when running the code now. This is semantically equivalent to the ground truth."
Is it normal if the FAQ count in my run doesn’t match the course recording?,e2d595f23c,good,"The AI answer matches the ground truth: it explains that the FAQ dataset is live and changes over time, and that the videos were recorded in May 2026 so the count may differ when running later. No key information is missing or incorrect."
Why do I get more or fewer FAQ entries than what appears in the lecture?,e2d595f23c,good,"The AI answer preserves the same core explanation as the ground truth: the FAQ dataset is live and changes over time, and the lecture videos were recorded in May 2026, so the observed count can differ. This is semantically equivalent."
"Did the course data change after the videos were recorded, or am I doing something wrong?",e2d595f23c,good,"The AI answer conveys the same core idea as the ground truth: the dataset is live, changes over time, and the videos were recorded in May 2026 so counts may differ later. It also correctly reassures the user they are probably not doing anything wrong. Semantically equivalent."
Why is the FAQ dataset count different now compared with the May 2026 videos?,e2d595f23c,good,"The AI answer conveys the same key point as the ground truth: the FAQ dataset is live, it changes over time with additions and deletions, and the current count may differ from the May 2026 videos because those were recorded earlier. This is semantically equivalent."
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says submission is still allowed if the form remains open despite the deadline passing, and that submission is no longer possible once the form is closed. No key information is missing or contradicted."
"The due date is over, but the submission page hasn’t closed yet — am I still allowed to send it in?",a9353fadfe,good,"The AI answer preserves the key point: submissions are still allowed after the deadline if the submission page/form remains open. It omits the explicit note that submission is no longer possible only once the form is closed, but that is implicit and the main answer is semantically equivalent."
"If the homework form is still open after the deadline, does that mean late submissions are okay?",a9353fadfe,good,"The AI answer preserves the key meaning of the ground truth: submissions are allowed after the deadline as long as the form remains open, and are no longer allowed once the form closes. This is semantically equivalent."
When exactly do homework submissions stop being accepted — is it the deadline or when the form gets closed?,a9353fadfe,good,"The AI answer matches the ground truth: submissions remain accepted while the form is open, even after the deadline, and stop only once the form is closed. It preserves the key distinction clearly."
"I missed the deadline, but I can still access the form. Should I submit now?",a9353fadfe,good,"The AI answer matches the ground truth: it says to submit now if the form is still open, even after the deadline, and that submission is no longer possible only once the form is closed. This preserves the core meaning exactly."
"Can I still turn in homework if the deadline already passed, as long as the form is open?",cdc3b285e5,good,"The AI answer captures the key policy: submissions are allowed while the form is still open even if the deadline has passed, and not allowed once the form is closed. It omits the extra details about no individual deadline extensions, no late submissions, and homework not affecting the certificate/leaderboard, but those are not required to answer the question."
Do you ever give one-on-one deadline extensions for homework submissions?,cdc3b285e5,good,"The AI answer matches the core of the ground truth: no individual deadline extensions and no late submissions after the form closes. It omits the extra details that homework can still be submitted while the form is open after the deadline, and that homework is optional and only affects leaderboard rank, but those omissions do not change the answer to the question asked."
What happens if I miss a homework deadline — can I submit late later on?,cdc3b285e5,good,"The AI answer matches the key policy: no extensions, no late submissions after the form closes, and submission is still possible while the form remains open even past the listed deadline. It omits the extra note about certificates/leaderboard, but that is not required to answer the question asked."
Will skipping a homework hurt my chances of getting the course certificate?,cdc3b285e5,good,"The AI answer correctly says that missing a homework does not hurt certificate chances and that only the Capstone project is required. It omits the extra details about no late submissions and homework affecting leaderboard rank, but those are not necessary for the core question about the certificate."
"Are homework points required for the certificate, or do they only affect the leaderboard rank?",cdc3b285e5,good,"The AI answer matches the key point of the ground truth: homework is not required for the certificate, and homework points only affect leaderboard rank. It also correctly states that passing the Capstone project is the requirement for the certificate. It omits the extra information about late submissions and deadlines, but that was not asked and does not affect semantic equivalence for this question."
Is the name I enter for the certificate visible on the public leaderboard or anywhere else online?,651ba06b34,good,"The AI answer preserves the key point: the certificate name is not visible publicly and the leaderboard uses a separate display name. It omits some extra detail about the specific Edit Course Profile fields and the anonymous/random nickname example, but that is not necessary for semantic equivalence."
"Do you share the certificate name with third parties, or is it only used on the certificate itself?",651ba06b34,good,"The AI answer matches the core of the ground truth: the certificate name is only used on the certificate and is not shared with third parties or published online. It omits the extra detail about the separate leaderboard display name and how to edit it, but that is supplementary rather than essential to the question asked."
What name shows up on the leaderboard if I set a different name for my certificate?,651ba06b34,good,"The AI answer correctly states that the leaderboard uses the separate display name, not the certificate name, and mentions the default random nickname. It captures the core point that changing the certificate name does not affect the leaderboard. It omits some extra details about Edit Course Profile and privacy, but those are not necessary for semantic equivalence."
Where do I change the public nickname and the certificate name in my course profile?,651ba06b34,good,"The AI answer correctly states where to change both values and accurately maps the first field to the public nickname/display name and the second to the certificate name. It omits the extra explanatory note about the certificate name not being public, but that is not required to answer the question. Semantically equivalent."
Can I keep my real name private on the leaderboard but still have it printed on the certificate?,651ba06b34,good,"The AI answer matches the ground truth: it says the real name can be kept private on the leaderboard while still appearing on the certificate, explains that the leaderboard uses a separate display name/nickname and the certificate uses the official name, and mentions that both are set in Edit Course Profile. This is semantically equivalent to the original answer."
Why doesn't this course use LangChain right away?,b7cdde6b25,good,"The AI answer conveys the same core idea as the ground truth: the course teaches the foundational pieces (prompting, retrieval, indexing, evaluation) before introducing LangChain, with the same HTML/CSS/JavaScript before React/Angular analogy. This is semantically equivalent and complete."
What's the reason we build the RAG pieces ourselves instead of using a framework?,b7cdde6b25,good,"The AI answer conveys the same key point as the ground truth: build the core RAG components yourself first to learn the fundamentals, then use frameworks like React/Angular analogously. It includes the same examples and preserves the rationale. Semantically equivalent."
"Is LangChain bad, or are we just avoiding it for learning purposes?",b7cdde6b25,good,"The AI answer preserves the core meaning of the ground truth: LangChain is not bad; it's being avoided initially for learning purposes so students first build prompting, retrieval, indexing, and evaluation themselves. It also includes the same HTML/CSS/JavaScript to React/Angular analogy. Semantically equivalent."
"Why do we learn prompting, retrieval, indexing, and evaluation before using tools like LangChain?",b7cdde6b25,good,"The AI answer preserves the key idea from the ground truth: LangChain is a framework, and learning prompting, retrieval, indexing, and evaluation first helps us understand the underlying components before using such frameworks. It also correctly includes the HTML/CSS/JS vs React/Angular analogy. Semantically equivalent."
What’s the idea behind teaching the basics first and only then moving to frameworks like LangChain?,b7cdde6b25,good,"The AI answer matches the ground truth closely: it explains that the course teaches core pieces first (prompting, retrieval, indexing, evaluation) before frameworks like LangChain, and uses the same HTML/CSS/JavaScript before React/Angular analogy. It preserves the key idea that understanding fundamentals makes frameworks easier to use well."
Why do I get an OpenAI API error saying I have insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer preserves the core point: the error occurs because the OpenAI account has insufficient credits/quota when calling responses.create. It adds extra advice about billing and model availability, but that does not contradict the ground truth."
What does the OpenAI error about insufficient credits mean in responses.create?,f5df151c59,good,The AI answer correctly explains that the error means the OpenAI account lacks sufficient billing credits/quota and includes the same example error message. The added advice is acceptable and does not change the meaning.
How can I fix the OpenAI API error if responses.create fails because of low credits?,f5df151c59,good,"The ground truth only states that the error occurs because of insufficient credits, with the specific error message 'OpenAI API Error: Insufficient credits.' The AI answer correctly identifies the cause as insufficient quota/credits and suggests adding credits. It adds extra troubleshooting steps, but they do not contradict the core answer. Therefore it is semantically equivalent."
Is insufficient credit the reason my OpenAI responses.create command is failing?,f5df151c59,good,"The AI answer correctly states that insufficient credits can cause `responses.create` to fail and matches the example error message. It adds an extra note about OpenRouter and max_output_tokens, which is additional detail but does not contradict the core ground truth."
What should I check if OpenAI responses.create throws an insufficient credits error?,f5df151c59,good,"The original answer says the error is due to insufficient credits in the OpenAI account. The AI answer correctly identifies checking account quota/billing and adding credits as the main fix. It includes extra suggestions, some of which may be unnecessary, but they do not contradict the core answer. It preserves the key point that the issue is insufficient credits/funds."
Why am I getting a 429 RateLimitError from OpenAI when I try to run my code in the RAG module?,152af39a53,good,"The AI answer matches the ground truth: it identifies the 429 RateLimitError as due to insufficient OpenAI API quota/credits, notes there is no free usage, and includes the same remediation steps about adding billing credits, using an available model, and possibly recreating the API key. This is semantically equivalent to the original answer."
"Does this error mean the API is down, or is it something with my OpenAI account quota?",152af39a53,good,"The AI answer correctly identifies that the error is due to the OpenAI account quota/billing, not the API being down. It also mentions checking plan/billing, adding credits, and possibly recreating the API key, which matches the ground truth. It omits some specifics like no free usage, the minimum $5, and model availability, but those are not essential to the core answer."
What do I need to do in my OpenAI account so the request stops failing with insufficient_quota?,152af39a53,good,"The AI answer matches the ground truth: it says to add billing credits/pay-as-you-go, mentions the billing overview link, the $5 minimum, recreating the API key if needed, and using an available model. This conveys the same core fix for insufficient_quota."
"After I add money to the account, do I also need to change the model name in responses.create?",152af39a53,good,"The ground truth says that after adding credits, you should use one of the models available to your account in responses.create, and you may need to recreate your API key. The AI answer correctly says that if you're staying with OpenAI, you usually do not need to change the model name, and that model changes are only needed when switching providers. However, it misses the specific guidance that you may need to choose a model available to your account and possibly recreate the API key. Still, the core answer to the user's question—whether adding money requires changing the model name—is correctly addressed."
"If I top up my billing, do I have to make a new API key or can I keep using the old one?",152af39a53,bad,"The ground truth says you may need to recreate an API key after adding credits, but the AI answer only says 'I don't know,' which fails to answer the question and misses the key point."
How much money do I need to start using the OpenAI API for this course?,554d0eb78b,good,"The AI answer preserves the key information from the ground truth: you can recharge starting at $5, and initial usage is usually fractions of a cent. It is semantically equivalent and accurate."
"Will I spend a lot on OpenAI API calls in the course, or is it pretty cheap?",554d0eb78b,good,"The AI answer preserves the key point from the ground truth: OpenAI API usage for the course is very cheap, with recharges starting at $5 and initial usage often costing fractions of a cent. The extra note about free or low-cost alternatives is additional information and does not contradict the original answer."
What’s the minimum I need to top up my OpenAI account with?,554d0eb78b,good,"The AI answer correctly states the minimum top-up amount of $5, which matches the ground truth. It omits the extra note about usage being very cheap, but that is not required for semantic equivalence."
Is it true that OpenAI API usage for the course only costs a few cents at most?,554d0eb78b,good,"The AI answer preserves the key point that course-related OpenAI API usage should cost very little, with initial usage usually fractions of a cent, and mentions the $5 minimum recharge. This is semantically equivalent to the ground truth."
How much should I expect to pay if I use the OpenAI API for the assignments?,554d0eb78b,good,"The AI answer preserves the ground truth meaning: the API usage should cost very little, initial usage is usually fractions of a cent, and recharging starts from $5. It is semantically equivalent."
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5,good,"The AI answer matches the ground truth: it says payment for the OpenAI API is not required, and that free or low-cost alternatives listed in the course GitHub repo can be used instead. The added note about running a model locally is extra but not contradictory."
"Is an OpenAI subscription required for the llm-zoomcamp assignments, or can I use cheaper alternatives?",85384a18e5,good,"The AI answer matches the ground truth: it clearly says an OpenAI subscription is not required, and that free or low-cost alternatives from the course repo can be used. The extra mention of other providers and local models is consistent and does not conflict with the original answer."
"For Module 1 RAG, do I have to buy OpenAI API access, or does the course support free/low-cost replacements?",85384a18e5,good,"The AI answer matches the ground truth: it says OpenAI API access is not required, and that free or low-cost alternatives listed in the course GitHub repo can be used. The extra examples of local/model providers do not conflict with the original answer."
"Can I complete the course tasks without paying for OpenAI, and where can I find the alternative models or APIs?",85384a18e5,good,The AI answer preserves the core point that OpenAI payment is not required to complete the course tasks and points to the course GitHub repo section listing OpenAI API alternatives. The extra examples are consistent with the intended meaning and do not conflict with the ground truth.
